"Wavelength, µm","n"
14.2857,16.924
14.4928,17.217
14.7059,17.522
14.9254,17.837
15.1515,18.164
15.3846,18.502
15.625,18.85
15.873,19.199
16.129,19.551
16.3934,19.909
16.6667,20.283
16.9492,20.672
17.2414,21.065
17.5439,21.464
17.8571,21.877
18.1818,22.326
18.5185,22.806
18.8679,23.303
19.2308,23.808
19.6078,24.326
20,24.874
20.4082,25.449
20.8333,26.042
21.2766,26.674
21.7391,27.347
22.2222,28.078
22.7273,28.852
23.2558,29.678
23.8095,30.575
24.3902,31.526
25,32.539
25.641,33.608
26.3158,34.79
27.027,36.09
27.7778,37.516
28.5714,39.083
29.4118,40.803
30.303,42.69
31.25,44.74
32.2581,47.012
33.3333,49.528
34.4828,52.313
35.7143,55.375
37.037,58.813
38.4615,62.712
40,67.101
41.6667,71.968
43.4783,77.307
45.4545,83.297
47.619,90.071
50,97.835
52.6316,106.633
55.5556,117.163
